ko_id,pathway_id
K14455,map00250
K14592,map00250
K14681,map00250
K15371,map00250
K16871,map00250
K17761,map00250
K18309,map00250
K18310,map00250
K18311,map00250
K19244,map00250
K22457,map00250
K23265,map00250
K05551,map00253
K05552,map00253
K05553,map00253
K12420,map00253
K14244,map00253
K14249,map00253
K14250,map00253
K14251,map00253
K14252,map00253
K14253,map00253
K14254,map00253
K14255,map00253
K14256,map00253
K14257,map00253
K18221,map00253
K21297,map00253
K21301,map00253
K00003,map00260
K00018,map00260
K00049,map00260
K00058,map00260
K00060,map00260
K00090,map00260
K00108,map00260
K00130,map00260
K00133,map00260
K00273,map00260
K00274,map00260
K00276,map00260
K00281,map00260
K00282,map00260
K00283,map00260
K00301,map00260
K00302,map00260
K00303,map00260
K00304,map00260
K00305,map00260
K00306,map00260
K00309,map00260
K00314,map00260
K00315,map00260
K00382,map00260
K00479,map00260
K00499,map00260
K00542,map00260
K00544,map00260
K00552,map00260
K00600,map00260
K00605,map00260
K00613,map00260
K00639,map00260
K00643,map00260
K00827,map00260
K00830,map00260
K00831,map00260
K00836,map00260
K00865,map00260
K00872,map00260
K00928,map00260
K00998,map00260
K01079,map00260
K01620,map00260
K01694,map00260
K01695,map00260
K01696,map00260
K01697,map00260
K01733,map00260
K01752,map00260
K01753,map00260
K01754,map00260
K01758,map00260
K01834,map00260
K01837,map00260
K02203,map00260
K02204,map00260
K02437,map00260
K06001,map00260
K06718,map00260
K06720,map00260
K08688,map00260
K10150,map00260
K10674,map00260
K11440,map00260
K11529,map00260
K12235,map00260
K12524,map00260
K12525,map00260
K12526,map00260
K12972,map00260
K13042,map00260
K13290,map00260
K13745,map00260
